name_def,pos_def,min_distance_wep,min_distance
Patrick Surtain,"[nan, nan]",,16900.0
Patrick Surtain,"[48.9, 18.93]",Travis Homer,8.390768737130106
Patrick Surtain,"[48.98, 18.91]",Travis Homer,8.414570696119913
Patrick Surtain,"[49.05, 18.9]",Travis Homer,8.413144477542271
Patrick Surtain,"[49.11, 18.88]",Travis Homer,8.418752876762689
Patrick Surtain,"[49.18, 18.87]",Travis Homer,8.41813518541963
Patrick Surtain,"[49.25, 18.87]",Travis Homer,8.427484796782489
Patrick Surtain,"[49.32, 18.88]",Travis Homer,8.431239529274448
Patrick Surtain,"[49.4, 18.9]",Travis Homer,8.464525976095764
Patrick Surtain,"[49.46, 18.92]",Travis Homer,8.4825291039878
Patrick Surtain,"[49.53, 18.95]",Travis Homer,8.5081137745096
Patrick Surtain,"[49.6, 19.0]",Travis Homer,8.544308046881271
Patrick Surtain,"[49.67, 19.06]",Travis Homer,8.574392106732699
Patrick Surtain,"[49.74, 19.14]",Travis Homer,8.605230967266367
Patrick Surtain,"[49.82, 19.22]",Travis Homer,8.651294700794788
Patrick Surtain,"[49.91, 19.32]",Travis Homer,8.705228314065058
Patrick Surtain,"[50.01, 19.44]",Travis Homer,8.784634312252276
Patrick Surtain,"[50.1, 19.56]",Travis Homer,8.835841782195967
Patrick Surtain,"[50.19, 19.7]",Travis Homer,8.901713318232618
Patrick Surtain,"[50.29, 19.83]",Travis Homer,8.973009528580699
Patrick Surtain,"[50.38, 19.97]",Travis Homer,9.040409282770337
Patrick Surtain,"[50.46, 20.11]",Travis Homer,9.101455927487647
Patrick Surtain,"[50.55, 20.24]",Travis Homer,9.174012208406962
Patrick Surtain,"[50.62, 20.35]",Travis Homer,9.219745115782757
Patrick Surtain,"[50.69, 20.42]",DK Metcalf,9.079140928524021
Patrick Surtain,"[50.75, 20.46]",DK Metcalf,8.880906485263765
Patrick Surtain,"[50.8, 20.47]",DK Metcalf,8.679429704767474
Patrick Surtain,"[50.85, 20.44]",DK Metcalf,8.492661538057428
Patrick Surtain,"[50.89, 20.38]",DK Metcalf,8.31534725672957
Patrick Surtain,"[50.92, 20.28]",DK Metcalf,8.132976085050295
Patrick Surtain,"[50.95, 20.15]",DK Metcalf,7.984791794405163
Patrick Surtain,"[50.97, 19.98]",DK Metcalf,7.851241939973575
Patrick Surtain,"[50.99, 19.77]",DK Metcalf,7.730989587368489
Patrick Surtain,"[51.01, 19.54]",DK Metcalf,7.632260477735282
Patrick Surtain,"[51.02, 19.29]",DK Metcalf,7.526041456170701
Patrick Surtain,"[51.03, 19.01]",DK Metcalf,7.44919458733627
Patrick Surtain,"[51.04, 18.72]",DK Metcalf,7.375866050844467
Patrick Surtain,"[51.05, 18.41]",DK Metcalf,7.3254078384756145
